Time [s],Channel 5,Channel 6
0.000070002,0,1
0.010407040,0,0
0.010415680,1,0
0.035382880,0,0
0.035390880,0,1
0.060358080,0,0
0.060366720,1,0
0.085333760,0,0
0.085341760,0,1
0.110309600,0,0
0.110318400,1,0
0.128783200,0,0
0.153768000,1,0
0.160259840,0,0
0.160267840,0,1
0.185235040,0,0
0.185243680,1,0
0.210211040,0,0
0.210219040,0,1
0.235187040,0,0
0.235195680,1,0
0.260164320,0,0
0.260172320,0,1
0.285141280,0,0
0.285149920,1,0
0.310118240,0,0
0.310126240,0,1
0.335094400,0,0
0.335103040,1,0
0.360070880,0,0
0.360078880,0,1
0.385046240,0,0
0.385054880,1,0
0.410023200,0,0
0.410031200,0,1
0.434999200,0,0
0.435008000,1,0
0.459975200,0,0
0.459983360,0,1
0.484950720,0,0
0.484959520,1,0
0.509927040,0,0
0.509935200,0,1
0.534902400,0,0
0.534911040,1,0
0.559879040,0,0
0.559887200,0,1
0.584856160,0,0
0.584864960,1,0
0.609834080,0,0
0.609842080,0,1
0.634810720,0,0
0.634819360,1,0
0.659787200,0,0
0.659795200,0,1
0.684764000,0,0
0.684772640,1,0
0.709741120,0,0
0.709749280,0,1
0.734718720,0,0
0.734727520,1,0
0.759696480,0,0
0.759704640,0,1
0.784673760,0,0
0.784682400,1,0
0.809650400,0,0
0.809658400,0,1
0.834626880,0,0
0.834635680,1,0
0.859604320,0,0
0.859612480,0,1
0.884581120,0,0
0.884589760,1,0
0.909558400,0,0
0.909566400,0,1
0.934535200,0,0
0.934544000,1,0
0.959511200,0,0
0.959519360,0,1
0.984487520,0,0
0.984496320,1,0
1.009464160,0,0
1.009472320,0,1
1.034441280,0,0
1.034450080,1,0
1.059418720,0,0
1.059426720,0,1
1.084395200,0,0
1.084404000,1,0
1.109373760,0,0
1.109381760,0,1
1.127847360,0,0
1.152834560,0,1
1.159327200,0,0
1.159336000,1,0
1.184304320,0,0
1.184312480,0,1
1.209281600,0,0
1.209290400,1,0
